Profile ID	Gene	(Sub)Type specificity
cd09634	cas1	"CAS-I,CAS-II,CAS-III,CAS-V"
cd09636	cas1	"CAS-I,CAS-II,CAS-III"
cd09718	cas1	CAS-I-F
cd09719	cas1	CAS-I-E
cd09720	cas1	"CAS-II-A,CAS-II-B,CAS-II-C"
cd09721	cas1	CAS-I-C
cd09722	cas1	CAS-I-B
COG1518	cas1	"CAS-I,CAS-II,CAS-III"
pfam01867	cas1	"CAS-I,CAS-II,CAS-III"
cd09638	cas2	"CAS-I,CAS-II,CAS-III"
cd09648	cas2	CAS-I-E
cd09725	cas2	"CAS-I,CAS-II,CAS-III,CAS-V"
cd09755	cas2	CAS-I-E
COG1343	cas2	"CAS-I,CAS-II,CAS-III"
COG3512	cas2	"CAS-II-A,CAS-II-B,CAS-II-C"
mkCas0081	cas2	"CAS-I,CAS-II,CAS-III"
mkCas0128	cas2	"CAS-I,CAS-II,CAS-III"
mkCas0179	cas2	"CAS-I,CAS-II,CAS-III"
mkCas0206	cas2	"CAS-I,CAS-II,CAS-III"
pfam09707	cas2	CAS-I-E
pfam09827	cas2	"CAS-I,CAS-II,CAS-III"
mkCas0200	2OG	"CAS-I,CAS-III"
pfam13640	2OG	"CAS-I,CAS-III"
cd09637	cas4	"CAS-I,CAS-II,CAS-V"
cd09659	cas4	CAS-I-A
cls000170	cas4	CAS-I
COG1468	cas4	"CAS-I-A,CAS-I-B,CAS-I-C,CAS-I-D,CAS-II-B"
COG4343	cas4	CAS-I-A
pfam01930	cas4	CAS-I
pfam06023	cas4	CAS-I
cd09655	casR	CAS-I
cls001593	casR	CAS-I
mkCas0192	cpf1	CAS-V
cls000179	csa3	CAS-I-A
COG0640	csa3	CAS-I-A
cd09694	csm6	CAS-III-A
cd09699	csm6	CAS-III-A
cd09742	csm6	"CAS-III-A,CAS-III-D"
cd09746	csm6	CAS-III-A
COG1517	csm6	CAS-III-A
COG4006	csm6	CAS-III-A
pfam09651	csm6	CAS-III-A
pfam09659	csm6	CAS-III-A
cd09660	csx1	CAS-III
cd09668	csx1	CAS-III
cd09671	csx1	CAS-III
cd09686	csx1	CAS-III
cd09702	csx1	CAS-III
cd09723	csx1	CAS-III
cd09728	csx1	CAS-III
cd09732	csx1	CAS-III
cd09741	csx1	CAS-III
cd09747	csx1	CAS-III
cls000955	csx1	CAS-III
cls001403	csx1	CAS-III
mkCas0085	csx1	CAS-III
mkCas0108	csx1	CAS-III
mkCas0109	csx1	CAS-III
mkCas0112	csx1	CAS-III
pfam09002	csx1	CAS-III
pfam09455	csx1	CAS-III
pfam09623	csx1	CAS-III
pfam09670	csx1	CAS-III
cd09766	csx15	"CAS-I,CAS-III"
cd09695	csx16	"CAS-I,CAS-III"
cd09743	csx16	"CAS-I,CAS-III"
pfam09652	csx16	"CAS-I,CAS-III"
cls000006	csx18	"CAS-I,CAS-III"
cls000023	csx20	"CAS-I,CAS-III"
cls000118	csx20	"CAS-I,CAS-III"
xls002255	csx20	"CAS-I,CAS-III"
mkCas0076	csx21	CAS-III-A
mkCas0125	csx21	CAS-III-A
cd09681	csx3	"CAS-I,CAS-III"
cd09740	csx3	"CAS-I,CAS-III"
mkCas0115	csx3	"CAS-I,CAS-III"
pfam09620	csx3	"CAS-I,CAS-III"
cd06127	DEDDh	CAS-I
cd09708	DinG	CAS-IV
COG1199	DinG	CAS-IV
COG4804	PD-DExK	"CAS-I,CAS-III"
mkCas0061	PD-DExK	"CAS-I,CAS-III"
mkCas0090	PD-DExK	"CAS-I,CAS-III"
COG4951	PrimPol	"CAS-I,CAS-III"
pfam08800	PrimPol	"CAS-I,CAS-III"
pfam00078	RT	"CAS-I,CAS-III"
COG2378	WYL	"CAS-I,CAS-III"
mkCas0075	WYL	"CAS-I,CAS-III"
mkCas0110	WYL	"CAS-I,CAS-III"
pfam13280	WYL	"CAS-I,CAS-III"
cd09645	cas5	CAS-I-E
cd09649	cas5	CAS-I-A
cd09651	cas5	CAS-I-C
cd09658	cas5	CAS-I-B
cd09688	cas5	CAS-I-B
cd09692	cas5	CAS-I-B
cd09693	cas5	CAS-I
cd09716	cas5	CAS-I-B
cd09752	cas5	CAS-I-C
cd09753	cas5	CAS-I-A
cd09756	cas5	CAS-I-E
cls000047	cas5	CAS-I-B
cls000048	cas5	CAS-I-A
cls000078	cas5	CAS-I-F
cls001430	cas5	CAS-I-B
COG1688	cas5	CAS-I
mkCas0069	cas5	CAS-I-B
mkCas0169	cas5	CAS-III-A
mkCas0191	cas5	CAS-I-B
pfam09704	cas5	CAS-I
mkCas0161	cas5a	CAS-I-A
cd09676	cas5f	CAS-I-F
cd09736	cas5f	CAS-I-F
pfam09614	cas5f	CAS-I-F
cd09667	cas5u	CAS-I-U
cd09734	cas5u	CAS-I-U
cd09656	cmr3gr5	CAS-III-B
cd09748	cmr3gr5	CAS-III-B
COG1769	cmr3gr5	CAS-III-B
mkCas0067	cmr3gr5	CAS-III-C
pfam09700	cmr3gr5	CAS-III-B
cls000315	csb2gr5	CAS-I-U
pfam09609	csb2gr5	CAS-I-U
cd09711	csc1gr5	CAS-I-D
mkCas0092	csc1gr5	CAS-I-D
mkCas0129	csc1gr5	CAS-I-D
mkCas0176	csc1gr5	CAS-I-D
cd09707	csf3gr5	CAS-IV
mkCas0093	csf3gr5	CAS-IV
cd09663	csm4gr5	CAS-III-A
cls000259	csm4gr5	CAS-III-D
